#Frame      Dih_00026 Dih_00027 Dih_00028 Dih_00029 Dih_00030
     176     -12.2094 -14.0285 31.0977 -40.8904 35.3858
     177     -16.6357 -9.6959 28.2625 -40.2668 35.3495
     178     -10.6408 -14.5862 32.0929 -38.6668 31.4874
     179     -13.9955 -13.1644 32.1938 -40.0341 36.0199
     180     -16.2833 -8.7112 28.0643 -35.5080 32.4968
     181      -4.4253 -20.4691 34.2889 -37.4413 28.0155
     182      -8.8219 -19.3612 34.9782 -42.9635 34.1372
     183     -13.5265 -10.5168 28.3034 -38.1825 34.1355
     184     -11.6567 -8.8781 23.9327 -30.6020 26.7784
     185     -17.7821 -10.9757 31.9098 -43.9428 41.3026
     186     -18.4926 -2.7463 20.7666 -35.3314 33.5718
     187     -18.9052 -1.2121 19.3522 -32.9811 31.9379
     188      -7.8363 -11.9514 24.5552 -30.6744 23.8997
     189     -20.9312 -3.6287 24.6945 -35.5021 35.0388
     190     -23.9460 -6.2473 31.9941 -47.2906 45.8969
     191     -13.9873 -14.1385 32.6962 -41.3409 35.8355
     192     -22.3684 1.7452 17.6868 -30.1880 33.0352
     193     -31.1506 9.6104 12.5075 -30.0281 38.3939
     194     -20.2664 -2.0407 22.5506 -35.8851 33.7897
     195     -23.2547 -5.7860 30.2901 -47.6406 43.3556
     196     -26.9961 -2.3319 28.2018 -44.9617 45.8479
     197     -19.2251 -10.4476 32.6120 -45.3329 41.9168
     198     -13.9577 -16.5505 36.8777 -45.7794 38.7176
     199     -15.6580 -5.5868 22.5144 -32.0289 30.3938
     200     -11.4251 -16.3665 35.6764 -43.9031 36.0204
     201     -29.2004 -1.7854 28.5005 -47.3520 46.0436
     202     -20.2148 3.3226 12.6294 -24.1150 27.6944
     203     -39.2293 19.4616 5.5428 -27.9870 40.4611
     204     -30.0837 6.5932 15.6712 -32.1756 40.1743
     205     -21.3541 -6.7884 30.0665 -45.7929 39.5485
     206     -33.1740 -0.4712 30.2991 -49.6334 48.7754
     207     -32.8102 3.0081 26.1924 -45.4103 52.1792
     208     -36.7983 14.8658 11.1645 -35.8018 45.2446
     209     -32.0922 8.8439 14.7538 -32.1473 39.6826
     210     -14.7973 -7.1869 23.8089 -33.5841 32.0731
     211     -32.4808 13.3828 9.1723 -27.6867 38.6623
     212     -22.4777 2.2613 18.7808 -33.6850 34.0718
     213     -34.8903 23.7559 -3.7676 -18.5127 34.9603
     214     -38.4148 28.7162 -9.8155 -10.6728 31.7933
     215     -39.0803 22.7439 -0.2803 -22.5971 37.6083
     216     -21.0388 34.1146 -31.7710 19.9824 0.4040
     217     -30.1438 44.6789 -36.3027 21.5369 5.3506
     218     -29.1568 33.2492 -22.5688 5.6118 15.2468
     219     -38.8767 42.8536 -30.5599 7.2940 20.1145
     220     -31.8049 26.6336 -11.2268 -6.8595 24.4177
     221     -44.5299 23.4373 3.4936 -29.1849 47.4947
     222     -46.0206 44.7350 -26.5783 1.5213 27.6060
     223     -36.5196 26.8560 -7.9218 -12.8606 31.2928
     224     -27.4164 17.3239 -0.6279 -15.5504 27.1616
     225     -36.0264 41.7708 -34.7843 14.2236 13.5243
     226     -26.8386 14.2785 3.6770 -20.0898 28.5702
     227     -31.4371 40.0236 -34.5743 16.5954 8.8154
     228     -37.3062 41.3931 -28.7702 5.0910 20.9054
     229     -36.2408 45.5556 -34.4199 16.0945 13.1335
     230     -33.1533 35.3778 -23.6526 4.6132 18.9680
     231     -35.8774 36.8577 -24.3216 2.3785 21.0457
     232     -29.8206 23.4005 -8.9512 -8.4327 23.4309
     233     -31.0504 14.0971 6.2496 -24.7289 34.6887
     234     -34.5634 13.0460 11.6203 -32.2549 44.4953
     235     -28.5213 0.5902 25.1804 -42.0451 43.4005
     236     -39.7782 16.4076 13.0438 -37.7400 47.3821
     237     -19.1035 -6.7658 27.5285 -38.9941 37.5566
     238     -23.7999 7.4961 10.5770 -26.2180 31.1860
     239     -25.1537 1.0254 21.6963 -37.9567 39.8156
     240     -24.6474 2.0428 19.2022 -34.7814 40.6018
     241     -20.0846 2.6160 15.0113 -27.0448 31.3010
     242     -32.1537 17.6206 3.9989 -25.0044 36.0723
     243     -30.1624 1.1786 25.5165 -41.5432 45.9092
     244     -19.6816 -8.2191 30.5643 -43.6089 39.8418
     245     -22.6208 -5.4057 28.5900 -38.9488 42.0931
     246     -19.2641 -13.9668 39.0739 -53.3463 47.5313
     247     -16.3537 -13.6868 35.1917 -42.6138 40.3801
     248     -21.1921 -9.1578 32.1851 -47.0298 47.9260
     249     -10.6579 -16.4040 34.1873 -42.6422 34.2474
     250     -20.8182 -5.1576 26.2079 -38.2905 35.9927
     251     -14.1643 -18.7397 40.2822 -52.3199 44.3869
     252     -24.4120 4.6171 14.6580 -30.9110 36.3198
     253     -41.0681 26.8728 -3.7194 -20.2349 39.9869
     254     -26.4754 8.9301 9.6593 -25.1867 33.2941
     255     -16.7155 -10.8879 32.9192 -43.3971 37.9497
     256     -15.6738 -13.8352 34.6017 -45.1904 38.4637
     257     -12.9479 -16.0208 35.7851 -43.9747 37.6916
     258     -27.7279 -1.5655 25.8394 -44.6282 46.8933
     259     -27.3795 4.7248 17.2201 -35.3026 39.6401
     260     -21.7772 -5.0583 28.4323 -42.3824 39.0585
     261     -28.5256 0.2303 26.1329 -45.1409 46.8877
     262     -43.1707 36.2551 -16.9969 -7.7900 32.2394
     263     -40.6549 24.9337 -0.4177 -23.0553 39.7160
     264     -41.8691 21.0115 6.9158 -31.7825 43.8853
     265     -16.7140 -13.9646 36.6752 -46.0038 40.7684
     266     -27.0586 6.6243 13.4449 -30.0315 34.9746
     267     -20.3566 -3.4447 22.0104 -35.5577 37.4925
