#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
     178     -28.4666 39.2382 -30.2693 15.5155 7.6122
     179     -33.9563 38.4512 -26.7056 6.6589 17.6276
     180     -23.7681 40.0497 -38.0913 27.4389 -2.3380
     181     -34.0291 31.4625 -15.4469 -3.4934 22.9052
     182     -34.1154 36.9337 -25.6452 5.6420 17.7761
     183     -44.4004 43.0475 -27.6902 2.4325 25.8657
     184     -37.2494 42.6588 -30.3652 9.1655 17.1234
     185     -38.7882 40.8009 -29.7884 7.0982 19.7673
     186     -37.0542 44.6895 -36.2933 15.1773 14.5529
     187     -20.1207 37.7642 -37.2009 27.8626 -5.8337
     188     -19.8828 33.5476 -36.1576 24.6823 -3.4012
     189     -10.7361 28.5512 -34.5255 30.6941 -13.0078
     190      -3.0057 21.4498 -31.2605 30.8640 -17.9221
     191     -33.1522 44.2511 -37.9900 18.4853 8.7170
     192     -19.9349 32.6021 -30.9424 22.0645 -1.6710
     193       2.7794 12.0850 -20.4540 24.4688 -17.5977
     194     -27.9360 40.1956 -37.8689 21.8798 4.2536
     195      -9.1423 21.4262 -23.6483 19.0909 -6.2960
     196     -40.7996 44.4751 -28.2522 4.5867 22.3948
     197     -41.5447 43.4218 -25.7596 1.5746 24.5841
     198     -20.9683 36.8344 -35.9905 25.5646 -3.6327
     199     -12.9477 28.0805 -30.1683 22.3046 -6.7193
     200     -24.4136 41.2811 -41.3047 29.6931 -3.2697
     201     -12.8454 30.1263 -30.9100 24.1415 -8.3169
     202     -14.2308 31.9324 -33.8433 28.4471 -9.3103
     203     -23.8356 35.9186 -29.9596 18.3366 3.5410
     204     -18.5847 37.1013 -39.9303 32.3256 -9.3828
     205       2.8427 23.0038 -37.7411 40.1456 -26.5832
     206     -15.4918 31.4852 -34.1088 26.2518 -7.5279
     207     -14.0996 25.7939 -27.3555 21.0965 -4.6358
     208     -15.4246 29.0219 -30.0075 23.4549 -5.7365
     209     -12.7717 30.3175 -33.4482 27.0877 -9.8033
     210      -7.5999 26.4598 -32.9238 31.4611 -15.0108
     211      -4.1581 18.5690 -25.5930 24.5889 -12.6163
     212     -17.0362 33.3168 -33.7454 26.9414 -7.1244
     213     -37.7715 37.3044 -21.4507 0.3632 22.8301
     214     -35.9268 16.8786 6.5030 -26.6984 40.5168
     215     -42.1792 21.8208 4.6972 -31.1542 48.5469
     216     -40.4121 30.0987 -8.9170 -14.7648 35.6507
     217     -41.7811 35.3417 -15.9277 -8.5858 31.6303
     218     -17.5586 6.4309 5.8428 -16.7525 21.3651
     219     -14.6984 32.2131 -34.0817 28.2158 -8.6084
     220     -24.8180 37.6273 -36.3831 22.7824 1.4740
     221     -33.7597 35.1925 -22.8868 4.0194 19.2806
     222     -48.2229 50.7542 -37.6212 8.7113 24.1174
