#Frame      Dih_00081 Dih_00082 Dih_00083 Dih_00084 Dih_00085
     153      -7.8111 -9.8932 22.1343 -27.6160 22.0701
     154       3.2591 -27.2312 37.5188 -36.9532 21.0545
     155      -9.6319 -13.1727 27.7953 -34.4232 26.9552
     156     -42.5669 22.5513 2.8425 -26.2693 41.6959
     157     -37.9028 46.0658 -34.7928 15.1632 14.3198
     158     -25.3674 36.6172 -32.9573 19.7922 2.3908
     159     -38.6477 42.3209 -29.7094 9.7538 17.3808
     160     -36.0391 36.2668 -22.7564 1.7645 21.5083
     161      -5.8941 18.4385 -22.2548 20.3704 -9.6424
     162     -16.8564 24.2054 -21.2857 13.6276 1.9712
     163     -15.6125 28.2670 -28.7414 20.8416 -4.1320
     164     -20.0553 26.3854 -24.1380 13.8260 4.2874
     165     -33.8789 35.6891 -22.6312 3.6519 19.5556
     166     -33.4508 38.9905 -27.6708 10.4276 14.0023
     167     -25.2785 18.4420 -5.4552 -9.2178 22.2948
     168     -42.2360 40.8570 -28.3766 5.3859 22.9476
     169     -36.7096 34.5381 -20.7185 -1.2309 24.2156
     170     -45.1962 44.0432 -23.2447 -0.8530 28.0578
     171     -34.7332 37.0978 -26.4406 9.1332 16.5668
     172     -38.9491 40.3515 -25.6163 4.4759 21.4591
     173     -29.7863 39.4232 -30.1928 14.9387 7.9084
     174     -35.1430 26.5508 -9.0259 -11.2166 30.0191
     175     -39.8856 44.2417 -31.5722 10.5938 17.3013
     176     -20.3891 2.0330 14.9521 -28.5813 31.0492
     177     -13.2972 22.3593 -22.0688 15.5521 -2.0536
     178     -44.4941 45.5288 -30.2084 4.6941 25.3722
     179     -42.1510 43.2514 -27.2425 2.3471 25.4983
     180     -30.9440 39.4427 -30.9696 13.3755 11.0540
     181     -32.2595 22.6964 -6.1623 -12.6629 27.2643
     182     -39.2534 35.8810 -19.1530 -3.7070 27.4957
     183     -38.1116 38.5645 -25.7725 5.6334 19.7107
     184     -38.1998 29.5999 -11.8858 -9.8655 29.0296
     185     -34.4074 34.8380 -22.0270 1.4297 21.1958
     186     -42.4845 33.0118 -12.3346 -13.2445 35.3798
     187     -50.9622 37.4349 -10.4968 -20.5177 48.3253
     188     -37.2863 28.4526 -11.7628 -9.6944 28.6694
     189     -46.3547 47.5219 -31.8311 3.9580 26.8447
     190     -42.6861 26.7098 -2.3555 -22.5315 39.9277
     191     -29.7235 25.5054 -10.1338 -8.3264 24.7536
     192     -21.0025 6.7663 8.0646 -19.8932 25.7177
     193     -34.7111 33.5268 -20.9234 2.1387 20.4270
     194     -31.5867 25.1537 -7.9027 -10.9199 26.4191
     195     -24.6464 31.6813 -24.5902 10.5104 8.7884
     196     -38.0330 22.3565 0.9389 -22.5444 37.0785
     197     -33.4725 37.8186 -25.7181 8.8662 14.3754
     198     -27.5475 38.3015 -33.3933 17.7871 5.7256
     199     -32.5309 39.8440 -33.5746 16.9656 9.7619
     200     -28.1156 40.6266 -36.8358 22.0209 3.7264
     201     -19.6238 36.1693 -38.0841 26.7206 -4.6884
     202     -29.6337 37.3278 -29.3810 12.6101 10.8070
     203     -51.7146 40.3279 -14.1360 -14.4917 40.9071
     204     -51.9860 31.8642 -3.3845 -24.9791 45.4282
     205     -44.9709 40.4752 -21.6098 -3.7886 31.2763
     206     -19.1843 38.4831 -40.6991 31.9460 -6.8530
     207     -32.1067 28.7664 -16.8698 -0.0668 19.1475
     208     -32.2368 34.6919 -22.4219 5.0323 16.3192
     209     -39.5624 47.2627 -33.1302 10.7819 18.8545
     210     -10.6013 27.3551 -30.7685 26.5220 -10.7621
     211     -29.4960 38.4217 -29.1629 12.9902 10.2027
     212     -28.1678 24.4608 -12.2979 -4.0075 19.9957
     213     -48.2009 35.8554 -11.1125 -16.9212 41.0791
     214     -48.9171 37.6217 -14.1502 -11.9609 37.8960
     215     -45.2301 37.2748 -16.2239 -8.6220 32.6240
     216     -31.2463 22.7194 -5.2991 -14.2995 28.5197
     217     -45.7608 48.7241 -36.3570 12.6954 21.1243
     218     -45.7719 44.1735 -25.2573 -0.9224 27.8060
     219     -24.1211 28.2566 -21.8059 8.5920 9.1635
     220     -33.0605 26.5289 -10.3158 -10.0242 27.9405
     221     -45.1481 33.6571 -11.8692 -13.2707 36.4104
     222     -25.6137 38.4293 -36.7862 23.8566 0.9152
     223     -44.0014 35.9079 -16.5084 -7.7260 31.7253
     224     -31.9261 47.6996 -39.9517 23.8314 4.7851
     225     -32.1335 35.3858 -24.2743 6.5066 15.6259
     226     -42.6363 50.1151 -35.8666 14.5178 16.1511
     227     -29.3143 31.4759 -23.5889 7.7716 13.9022
     228     -48.6968 47.3715 -30.5995 6.2857 25.1390
     229     -43.3022 29.6138 -5.3190 -18.2592 38.8176
     230     -30.0541 40.3890 -33.8700 18.5399 7.9028
     231     -49.5768 37.6292 -15.3550 -11.6351 38.8036
     232     -33.4251 34.2865 -19.3234 -1.4050 23.8356
     233     -36.0048 32.3846 -18.0510 -1.2971 23.4340
     234     -36.4381 40.8599 -29.2505 11.4114 14.0998
     235     -23.6132 34.7745 -32.7094 20.5804 2.1620
     236     -10.3512 24.1596 -27.2874 21.6224 -7.9029
     237     -34.6015 36.6063 -24.2830 7.2607 15.8101
     238     -26.1520 35.0788 -32.5664 19.6482 4.1809
     239      -7.3844 21.7308 -26.0672 22.7618 -9.4106
     240     -20.5067 32.8178 -31.9824 23.0628 -2.0294
     241     -32.2839 30.8318 -18.0853 -1.3620 21.1395
     242     -36.9124 45.1175 -38.8540 18.5175 12.2634
     243     -30.7390 38.2802 -31.7532 14.5924 10.0179
     244     -40.9065 38.5849 -22.4462 1.6056 23.0920
     245      -9.4871 21.3867 -22.9178 19.3077 -5.9922
     246     -37.0389 32.6673 -15.3401 -7.1454 28.9991
     247     -40.4896 31.6514 -13.8244 -9.4866 32.7378
     248     -45.9320 24.4703 3.2541 -29.3986 47.7921
     249     -43.0317 46.6875 -28.8218 4.6429 23.0967
     250     -38.0851 28.2225 -7.1348 -15.4735 34.7018
     251     -41.8924 35.6944 -16.5915 -9.0399 33.3106
     252     -36.6725 26.2180 -6.5291 -15.3746 32.8289
     253     -38.7584 41.7763 -27.0586 6.5741 18.4955
     254     -37.1925 43.2159 -32.8112 11.5564 17.0863
     255     -43.2197 51.3899 -37.1776 13.1337 18.8603
     256     -44.5444 43.8314 -23.4131 -4.4830 32.2731
     257     -48.7006 47.9121 -30.4804 4.7076 26.0737
     258     -48.8815 52.0245 -33.0796 5.9926 25.9983
     259     -42.9697 45.9055 -30.2031 6.4945 24.2547
     260     -30.3535 41.5386 -36.0332 19.2391 6.8031
     261     -18.2741 15.2343 -8.4971 -2.1537 13.3536
     262     -23.6242 40.6594 -41.7730 28.4187 -3.6125
     263     -36.5541 42.5019 -32.3267 10.4898 18.0429
     264     -18.3803 32.0107 -32.1300 24.0110 -2.9927
     265     -35.1878 40.4118 -29.2763 11.2721 14.8781
     266     -26.1188 33.4313 -28.2215 14.0609 7.9367
     267     -47.0326 39.5458 -20.8460 -6.6626 34.5010
     268     -35.0853 33.0756 -18.5126 -1.3821 23.5817
     269     -35.5183 37.7486 -24.9679 3.8956 21.2473
     270     -36.2448 33.8678 -18.6635 -3.9074 27.7622
     271     -31.9416 42.8588 -38.9057 22.8646 4.8126
     272     -10.7861 27.1941 -32.5732 27.0144 -10.1079
     273     -15.1824 27.3667 -29.4753 20.3364 -2.9773
     274      -6.3245 -4.4075 12.2114 -16.4610 15.4610
