#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
     168      -0.5886 23.5685 -35.8559 36.4188 -22.5992
     169     -31.0718 40.4300 -31.5178 14.0875 10.7855
     170     -21.8283 24.7344 -19.3321 6.5881 10.0725
     171      -9.5567 -18.9457 37.9877 -44.9487 34.2456
     172       9.0409 -34.4083 45.2694 -42.8015 21.0083
     173       0.9260 -23.3371 36.0223 -37.7675 23.8026
     174      19.8690 -31.1739 29.3152 -19.3169 -0.3043
     175      20.1576 -32.8825 31.9074 -21.1539 0.4422
     176      18.0794 -37.1167 37.1692 -29.6518 8.4789
     177     -11.4206 -11.0757 27.2310 -38.0703 30.0676
     178       1.5652 -21.5047 29.8704 -32.5151 19.2350
     179      10.0710 -30.8333 38.1279 -34.0050 14.9799
     180      -3.0555 -17.9274 30.4872 -32.3335 22.5675
     181      -6.5954 -14.9219 28.7822 -32.7405 24.7481
     182      -0.3076 -24.2841 35.8072 -37.7570 25.0247
     183      25.0069 -36.3578 34.7648 -21.9840 -1.3840
     184       3.9749 -28.0601 39.3599 -38.7971 21.7724
     185      10.4519 -31.0648 41.3509 -36.4272 15.8193
     186       6.2256 -32.0692 43.4767 -40.8857 22.6471
     187      13.9160 -30.6445 34.5693 -28.0465 9.2683
     188       1.7370 -24.3159 35.9305 -35.3750 20.5842
     189       1.4416 -25.2268 36.9020 -35.3693 21.8581
     190      11.8849 -31.1644 36.8866 -32.5716 12.6749
     191       7.5036 -27.9957 38.7550 -34.2199 16.6724
     192       8.3107 -26.0794 30.3217 -27.4158 12.7757
     193       2.4971 -18.7860 26.0147 -25.3274 14.8514
     194      -8.8637 -11.5227 26.3349 -33.0490 26.6523
     195      -4.9878 -8.8223 17.8008 -22.0424 17.3429
     196       4.0847 -28.3316 42.3344 -40.3174 23.3039
     197      -3.6606 -14.9848 24.8719 -31.6744 22.3504
     198      -2.3878 -19.5053 30.4514 -35.2926 24.3022
     199      -4.3945 -14.9430 25.3905 -28.9863 21.6059
     200       3.1453 -26.1036 35.3543 -36.2910 22.0045
     201       0.9755 -28.8284 40.9707 -41.0130 27.3014
     202     -16.9973 -5.1776 23.4781 -36.9321 34.8128
     203      -0.9519 -27.1861 44.0779 -43.8082 30.3836
     204      -3.4529 -22.3300 35.7653 -38.3970 28.6152
     205     -25.7505 9.5941 7.6592 -23.4448 31.9321
     206     -29.5742 16.0400 2.7686 -21.6903 34.3794
     207     -30.7254 45.5607 -38.5063 22.2959 5.1630
     208     -24.5024 38.4713 -34.8586 21.4834 1.0887
     209     -19.3081 33.9183 -37.3804 26.9627 -5.1555
     210     -18.6046 35.6911 -37.6045 26.8388 -5.6146
     211     -34.6552 39.8592 -31.8716 13.6691 13.1008
     212     -44.1854 50.5594 -39.4932 13.7095 19.8364
     213     -41.4501 53.4703 -45.5496 22.5390 12.4319
     214     -45.3017 51.9802 -41.7492 17.7195 18.4002
     215     -30.0535 27.1394 -13.4286 -4.1997 21.6975
     216     -17.9600 30.6685 -26.9402 18.0250 -0.4774
     217       1.0492 23.1879 -35.2452 38.9129 -24.6810
     218      -3.5269 22.0266 -31.3528 30.1393 -17.1329
     219       1.1880 25.0687 -39.2193 39.8109 -26.5848
     220     -25.5214 39.2980 -36.5049 22.6272 1.8955
     221     -16.5614 31.5502 -31.3835 24.1346 -5.8447
     222     -14.2737 28.2164 -29.6347 23.8137 -5.9522
     223      -3.7307 22.7215 -32.6834 31.5384 -18.1319
     224     -12.4430 28.1024 -29.9197 22.9910 -7.3068
     225     -12.4198 27.8763 -33.9937 25.4439 -8.5876
     226      -3.6536 21.4177 -27.6276 26.1252 -15.3010
     227      -8.8999 23.7598 -29.2874 24.6854 -9.9489
     228      -7.9315 29.2413 -36.8070 32.6766 -15.2675
     229     -12.7950 31.0324 -37.7918 32.2505 -12.8273
     230     -28.4958 40.9410 -36.5934 21.2414 3.8661
     231     -24.2554 31.9006 -27.8743 13.9887 6.5540
     232     -21.3806 30.8692 -29.3323 17.3901 2.8957
     233     -11.3027 24.1725 -27.6551 21.7639 -6.4751
     234      -7.3812 22.1696 -26.7268 25.7134 -12.1423
     235     -19.2286 22.2651 -15.2277 2.9514 11.0393
     236     -19.9877 29.6176 -28.4520 18.0803 1.3878
     237     -30.1892 34.4522 -24.5244 8.5729 12.8057
     238     -19.6969 36.0376 -34.3206 26.4147 -4.2402
     239      -3.8709 25.8981 -36.6231 34.5922 -20.8488
     240     -11.9038 29.6102 -32.7670 27.0998 -10.6523
     241     -13.4630 28.5758 -33.1700 24.8716 -7.2018
     242     -23.8251 33.4743 -28.5791 15.8010 5.2919
     243      -8.2131 28.7227 -36.3339 32.9669 -14.8280
     244     -17.0750 37.8295 -41.5331 33.7668 -10.5166
     245     -16.9579 37.2440 -40.4084 31.1722 -10.0813
     246     -29.7262 37.7307 -30.2904 12.4661 11.4730
     247     -29.5217 25.4584 -10.0342 -7.5729 22.2662
     248     -22.1351 32.7253 -28.5624 17.0032 3.1552
     249     -19.3894 39.1825 -42.9394 31.5794 -7.8254
     250      -6.5167 24.4986 -32.0265 28.0439 -14.2046
     251      -3.3142 23.1323 -32.2515 30.5256 -17.4425
     252     -13.9450 29.6937 -35.1874 28.8394 -9.1501
     253      -2.6830 17.5397 -23.2224 24.0756 -13.3235
     254     -16.2935 37.0019 -41.8603 37.1396 -12.5946
     255     -30.1272 40.3247 -36.1246 20.1694 6.1206
     256     -19.9470 37.8915 -38.9657 28.1915 -5.3836
     257     -22.1991 37.5125 -33.0304 22.3715 -0.6791
     258     -11.2649 25.9115 -28.4757 24.5673 -8.7863
     259       1.4288 16.9888 -27.7504 30.6938 -20.0311
     260      -6.8998 29.2015 -37.4060 35.8024 -18.3936
     261     -11.9759 29.7353 -35.0960 28.0506 -10.7798
     262     -29.6157 28.9069 -17.6266 1.1796 17.5970
     263      -7.0147 26.6716 -34.3818 29.9462 -15.1440
     264      -7.6114 31.0801 -38.9248 36.5471 -17.6036
     265     -19.6492 32.4091 -33.7191 23.2829 -1.8141
     266      -2.0468 20.1805 -28.7875 28.1502 -18.1998
     267      -8.3699 21.2121 -25.2239 22.4052 -8.8055
     268     -15.9914 33.6322 -38.4468 28.8263 -8.1312
     269     -11.8514 31.5363 -37.3310 30.4655 -12.2408
     270     -19.2714 34.7545 -34.8600 25.3507 -3.3176
     271     -15.9646 25.0176 -25.2609 16.5650 -0.1362
     272     -21.6599 41.8135 -42.4027 30.3094 -5.4194
     273       2.7243 19.0375 -31.8845 35.4586 -24.3144
     274     -17.5395 31.2300 -33.0312 25.0654 -4.1523
     275      -3.9803 24.4475 -33.0230 33.8155 -19.0016
